name,online_order,book_table,rate,votes,location,cuisines,cost_for_two,normalized_rating
skylit - citrus hotels,no,yes,4.0,324,cunningham road,"north indian, mughlai, mediterranean",1300,3.9382405253640966
banjara melting pot,yes,yes,4.2,474,cunningham road,"north indian, chinese, seafood",1700,4.0359531274254925
zodiac - fortune select jp cosmos hotel,yes,yes,3.8,91,cunningham road,"north indian, south indian, chinese, continental",1800,3.8904546637949395
one atria cafe,no,yes,3.7,100,race course road,"south indian, continental, north indian",1600,3.874804747768667
biso - citrus hotels,no,yes,3.9,156,cunningham road,"north indian, south indian, italian, continental",1100,3.9034673101849378
blow,yes,yes,4.2,935,church street,"cafe, continental, american, burger",750,4.085511193124606
cafe azzure,yes,yes,4.3,2660,mg road,"cafe, continental, italian, burger",1200,4.228080615413149
trick or treat,no,no,4.2,618,brigade road,"cafe, burger, continental, pizza, steak",500,4.055492209022456
fatso's,yes,no,3.8,72,brigade road,"cafe, american, italian, burger",650,3.8930468788961523
bon sante,yes,no,3.6,104,brigade road,"cafe, continental, italian",800,3.8588346485009337
kalmane koffees,no,no,3.6,46,brigade road,cafe,350,3.882402010530846
brik oven,no,no,4.6,2257,church street,"cafe, pizza, beverages",1100,4.455649606990221
green theory,yes,yes,4.2,2838,residency road,"italian, salad, healthy food, cafe, asian, desserts, pizza",800,4.149049309042913
truffles,no,no,4.5,3568,st. marks road,"cafe, american, burger, steak",900,4.415361885238795
cafãâãâãâãâãâãâãâãâ© felix,yes,yes,4.4,690,mg road,"american, cafe, continental",1700,4.171342764018852
the white room - coffee & kitchen,no,yes,4.0,1701,church street,"cafe, continental, american, desserts",1000,3.97534471235085
matteo coffea,no,no,4.3,2635,church street,cafe,600,4.227523273623109
glen's bakehouse,yes,no,4.4,1084,lavelle road,"bakery, cafe, italian, desserts",600,4.225128406392925
cafe mozaic - taj mg road bengaluru,no,yes,4.1,563,mg road,"north indian, italian, south indian, continental, cafe, salad",2500,3.999818094201169
smally's resto cafe,yes,no,4.3,3547,church street,"cafe, italian, burger, american, steak",650,4.243496877889838
bengaluru baking company - jw marriott bengaluru,no,no,4.3,521,lavelle road,"salad, bakery, cafe, sandwich, italian, burger",1400,4.089739281212363
cafe kaara,no,no,4.2,160,ulsoor,"cafe, salad, desserts, pizza",750,3.967363622780491
japan travel cafe azuki,no,no,4.3,67,residency road,"cafe, japanese",400,3.9446657761522017
little green cafe,no,no,4.3,786,church street,"cafe, healthy food, salad, continental, beverages, italian, sandwich",900,4.13020339920708
cafãâãâãâãâãâãâãâãâ© mor'ish,yes,no,4.1,114,richmond road,"bbq, continental, burger, wraps, pizza, cafe",700,3.936014298876807
skoolroom,yes,no,4.3,566,ulsoor,"cafe, continental, italian, burger, beverages",700,4.097917096549826
lakeview milkbar,no,no,4.0,1443,mg road,"desserts, cafe, fast food",500,3.9722173454808987
wolf'ish,yes,no,4.1,460,church street,"cafe, american, italian, pizza, burger",700,3.9900000767917683
urban solace - cafãâãâãâãâãâãâãâãâ© for the soul,yes,no,3.9,461,ulsoor,"cafe, american, continental, steak",800,3.9024620539050847
peppa zzing,yes,no,4.3,1133,infantry road,"cafe, fast food, burger",800,4.164379397162499
the courtyard,no,yes,3.9,296,shanti nagar,"cafe, italian",750,3.9029200458941924
cafe imroze,yes,no,3.6,95,infantry road,"cafe, burger, italian, fast food",650,3.862230438350071
kaara by the lake,no,no,4.0,47,ulsoor,"cafe, italian, coffee",750,3.911426458790202
happy belly bakes,yes,no,4.2,115,mg road,"cafe, bakery",500,3.9525355250823635
cafe cassia& deli,no,no,4.2,115,ulsoor,"lebanese, mediterranean, cafe",1000,3.9525355250823635
the blackboard bakery,no,yes,3.7,91,lavelle road,"cafe, bakery, continental",1000,3.877111555290541
wafl cafãâãâãâãâãâãâãâãâ©,yes,no,4.0,85,residency road,"cafe, fast food, desserts, beverages",400,3.91640544483454
fresh pressery cafe,no,no,4.1,104,lavelle road,"cafe, italian, healthy food",1200,3.9336547923858256
tata cha,yes,no,3.9,66,church street,"cafe, tea, north indian",500,3.9039422841828753
moto store & cafãâãâãâãâãâãâãâãâ©,yes,no,4.2,382,ulsoor,"pizza, italian, cafe, burger, finger food, fast food, sandwich",500,4.020442015116288
driven cafe,yes,no,3.4,122,residency road,"cafe, beverages, fast food",600,3.8180786545696335
soul cafe,no,yes,3.9,315,mg road,"cafe, continental, italian",800,3.9028588087286407
cafe aladdin,no,no,3.9,74,st. marks road,"cafe, chinese",500,3.903894858207743
cafe cerrise,no,no,3.8,99,ulsoor,"cafe, continental, salad",600,3.889405914069781
the coffee bean & tea leaf,yes,no,3.8,260,mg road,cafe,700,3.872491281678201
berrylicious cafe,yes,no,4.1,124,mg road,"continental, cafe, desserts, pizza, north indian, chinese, ice cream",900,3.938307805186222
hammered,yes,yes,4.7,4639,cunningham road,"north indian, thai, japanese, continental, cafe",1300,4.610093705680335
dolci desserts,yes,no,4.3,652,cunningham road,"cafe, desserts",750,4.111898697271238
infinitea tea room & tea store,yes,yes,4.3,858,cunningham road,"continental, cafe, desserts, salad, momos",1000,4.1386404973831254
mudpipe cafe,yes,no,4.2,739,cunningham road,"cafe, continental, italian, burger",750,4.06863915842718
eat.fit,yes,yes,4.1,94,church street,"healthy food, north indian, biryani",300,3.9312263951943778
kerala pavilion,yes,no,3.9,302,domlur,"kerala, south indian, seafood, biryani",300,3.9029004263249147
donne biriyani house,yes,no,4.0,473,indiranagar,biryani,300,3.946889173597884
leon grill,yes,no,4.3,284,st. marks road,"burger, turkish, arabian, fast food, salad, healthy food, desserts",500,4.032788663666455
freshmenu,yes,no,3.8,377,richmond road,"healthy food, chinese, biryani, north indian, continental, salad, american, burger",450,3.863729422219162
sri ganesh juice junction,yes,no,4.1,210,koramangala 8th block,"beverages, juices, fast food",150,3.955668015865354
burger king,yes,no,4.0,1393,indiranagar,"burger, fast food, beverages",600,3.9715171777762848
shanmukha,yes,no,3.9,142,old airport road,"biryani, andhra, north indian, chinese",800,3.9035335343903803
dunkin' donuts,yes,no,4.1,1079,brigade road,"burger, desserts, fast food",550,4.030772503418053
khan saheb grills and rolls,yes,no,4.0,1072,indiranagar,"fast food, rolls",350,3.966019290864792
pathaan sir,yes,no,3.8,88,frazer town,"fast food, rolls, momos",250,3.890854316212296
box8- desi meals,yes,no,4.3,290,residency road,"north indian, mughlai, fast food",500,4.034608491155674
punjabi dhaba,yes,no,3.5,350,ejipura,"north indian, chinese",350,3.753974580986343
warm oven,yes,no,4.3,889,domlur,"bakery, desserts",500,4.142020324802804
firangi bake,yes,no,3.9,59,indiranagar,"mexican, italian",600,3.903984739550998
behrouz biryani,yes,no,4.2,128,vasanth nagar,biryani,650,3.9570098479946436
corner house ice cream,yes,no,4.4,633,residency road,"ice cream, desserts",400,4.160694510382475
chai point,yes,no,4.2,176,indiranagar,"tea, beverages, fast food",250,3.9722165328659047
empire restaurant,yes,no,4.0,1864,frazer town,"north indian, mughlai, south indian, chinese",750,3.976981702936109
tadkawala,yes,no,3.5,68,vasanth nagar,north indian,200,3.862655661165628
pizza hut,yes,no,3.8,236,shanti nagar,"pizza, fast food",750,3.874595018994134
roti shotti,yes,no,3.8,61,jeevan bhima nagar,north indian,400,3.894616688202682
nando's,yes,no,4.3,1217,indiranagar,"portuguese, african",1200,4.170680354373975
kfc,yes,no,3.6,206,cunningham road,"burger, fast food",400,3.825709009671454
kc das,yes,no,3.9,370,mg road,"mithai, street food",200,3.902695193244692
ovenstory pizza,yes,no,3.8,97,vasanth nagar,pizza,750,3.8896658149827745
m.m.a kababs rolls & biryani center,yes,no,2.7,67,old madras road,"arabian, mughlai, chinese, kebab, fast food",400,3.7817478430215026
richie rich,yes,no,4.0,624,race course road,"desserts, beverages, fast food, ice cream",450,3.9534897783606167
belgian waffle factory,yes,no,4.9,1746,brigade road,desserts,400,4.648219974629075
no 10 fort cochin,yes,yes,3.8,194,st. marks road,"biryani, kerala, seafood, south indian",800,3.8785860900740747
shanthi sagar,yes,no,4.1,204,ulsoor,"south indian, north indian, chinese, juices",250,3.954578717871885
savoury restaurant,yes,no,4.1,1443,frazer town,"arabian, north indian, chinese, beverages",800,4.043161298283258
faasos,yes,no,3.8,101,vasanth nagar,"north indian, biryani, fast food",500,3.8891475154742032
karama restaurant,yes,yes,4.4,2860,frazer town,"arabian, north indian, beverages",750,4.315123176096247
the mughal's,yes,no,3.7,89,frazer town,"mughlai, north indian, chinese",400,3.877632471629631
potful,yes,no,4.1,1125,domlur,"biryani, kebab, rolls, mughlai",650,4.032628252160926
kkr foodies,yes,yes,3.1,58,st. marks road,"biryani, chinese, fast food, north indian",400,3.832496272277579
meghana foods,yes,yes,4.2,1746,indiranagar,"biryani, chinese, north indian, seafood",750,4.125241797478883
xpress biryani,yes,no,4.3,146,ulsoor,"biryani, north indian, kebab",650,3.9827545192783567
soda bottle opener wala,yes,yes,4.4,3651,lavelle road,"parsi, north indian",1300,4.330950042599753
smoke house deli,yes,no,4.6,2490,lavelle road,"european, italian, desserts, salad, juices, steak",1600,4.466566076179211
thai chy,yes,yes,4.3,375,indiranagar,"thai, asian, indonesian",1200,4.057960746074688
krispy kreme,yes,no,4.0,47,richmond road,"desserts, beverages",300,3.911426458790202
healthie,yes,no,3.9,189,indiranagar,"healthy food, beverages",600,3.9033206162924983
xo belgian waffle,yes,no,4.4,215,brigade road,"desserts, beverages",450,4.036588189464204
mani's dum biryani,yes,no,4.0,175,ulsoor,"biryani, kebab",750,3.926227259410116
subway,yes,no,3.9,107,lavelle road,"salad, fast food",600,3.903710717346918
kaati zone,yes,no,3.1,163,church street,"fast food, biryani, rolls",350,3.730490823220357
suryawanshi,yes,no,4.2,444,indiranagar,"seafood, maharashtrian",700,4.031198145611738
portland steakhouse & cafe,yes,yes,4.3,2040,mg road,"steak, italian, continental, american, burger, bbq, salad",1500,4.2111326798586655
wow! momo,yes,no,3.7,123,brigade road,"chinese, momos",400,3.86917378250441
keventers,yes,no,4.0,568,indiranagar,"desserts, beverages, ice cream",400,3.9512425200242873
utse kitchen,yes,no,4.2,172,commercial street,"nepalese, tibetan, momos",800,3.9710223862492127
alampur bar and restaurant,yes,no,3.7,42,race course road,"chinese, south indian, north indian",900,3.8908216124931263
sgs non veg - gundu pulav,yes,no,3.9,55,st. marks road,"biryani, fast food",400,3.9040094128609115
hotel fanoos,yes,no,4.0,787,richmond road,"arabian, biryani, rolls, kebab",400,3.9589913502961895
laughing llama gastropub,yes,yes,4.3,393,brigade road,"finger food, continental, pizza",1600,4.06238829340259
imperial restaurant,yes,no,3.9,238,indiranagar,"north indian, chinese, biryani, kebab, juices",800,3.9031243434356444
oregano pizzeria,yes,no,3.5,60,frazer town,"italian, pizza",300,3.8671122591523024
the good grain,yes,no,4.1,54,residency road,"healthy food, north indian, south indian",400,3.920759815051394
pasta street,yes,yes,4.5,1621,cunningham road,"italian, pizza, salad",1300,4.340863508457572
cita pani,yes,yes,3.9,54,indiranagar,"biryani, north indian, arabian",350,3.904015629004882
the waffle press,yes,no,4.3,116,st. marks road,"desserts, ice cream",400,3.9692929005772966
delicacy,yes,no,3.9,306,frazer town,"chinese, thai, momos",500,3.9028874924282597
mamagoto,yes,yes,4.4,2560,indiranagar,"asian, thai, chinese, bbq, momos",1600,4.307042234436099
atty's bakery,yes,no,4.0,73,frazer town,bakery,250,3.91489469986167
eden park,yes,yes,4.1,612,cunningham road,"andhra, biryani, chinese, north indian, seafood, south indian",1100,4.003898653955236
kanti sweets,yes,no,3.9,100,brigade road,"mithai, street food",400,3.9037483078265542
rahhams,yes,no,3.9,847,frazer town,"mughlai, north indian, chinese",700,3.901801168781745
marzipan cafe & bakery,yes,no,4.2,432,ulsoor,"cafe, mediterranean, bakery, greek, beverages",700,4.029218065208357
bozo's yum yums,yes,no,4.0,90,frazer town,"fast food, burger, american",650,3.917019208088324
pind balluchi,yes,yes,4.0,1021,brigade road,"north indian, mughlai",700,3.9649442188015813
cream chemistry,yes,no,3.9,148,frazer town,"ice cream, desserts",500,3.903504845342556
the brekkie shop,yes,no,3.5,64,mg road,"healthy food, sandwich",300,3.8648703522261814
hotel ramprasad,yes,no,4.2,93,brigade road,"south indian, chinese",300,3.9445761413861824
anna kuteera,yes,no,3.8,62,st. marks road,"south indian, north indian, chinese",400,3.894471792814929
lassi shop,yes,no,3.8,83,indiranagar,"beverages, juices, ice cream",100,3.891528309656007
kitchen of joy,yes,no,4.1,569,indiranagar,"fast food, bengali, rolls",400,4.000336276472542
haji ali juice centre,yes,no,4.0,78,commercial street,"fast food, pizza, rolls, beverages, juices",350,3.915530763390357
domino's pizza,yes,no,3.9,117,mg road,"pizza, fast food",800,3.903658306084956
mama mia!,yes,no,4.3,422,indiranagar,"desserts, cafe",400,4.069190602870828
shaadi ki biryani,yes,no,2.8,296,commercial street,biryani,600,3.535840000798364
shiro,yes,yes,4.4,2229,lavelle road,"japanese, asian",3000,4.29613123429367
thai house,yes,no,4.2,127,brigade road,thai,700,3.9566714215990935
innerchef,yes,no,3.7,270,indiranagar,"north indian, continental",500,3.8402904537841454
church street social,yes,no,4.3,7544,church street,"american, north indian, chinese, finger food, momos",1500,4.2712587683722365
mad over donuts,yes,no,3.9,148,brigade road,"bakery, desserts, beverages",450,3.903504845342556
sheesh kebab,yes,no,4.1,68,frazer town,north indian,700,3.924567649026023
just shawarma,yes,no,3.8,110,ulsoor,arabian,300,3.8880029681999266
the belgian waffle co.,yes,no,4.0,71,indiranagar,desserts,400,3.914637584151282
bangalore masala house,yes,no,4.2,255,vasanth nagar,"cafe, continental, fast food",500,3.993487093035637
sweet truth,yes,no,4.2,50,koramangala 8th block,"bakery, desserts",500,3.9274416235696545
srinidhi sagar food line,yes,no,3.7,129,indiranagar,"south indian, north indian, chinese",40,3.86776400098354
pabrai's fresh & naturelle icecreams,yes,no,4.2,131,brigade road,"ice cream, desserts",180,3.9580195023658566
ibaco,yes,no,4.0,289,indiranagar,desserts,300,3.9357841826228963
the egg factory,yes,no,4.2,1764,st. marks road,"continental, american",750,4.1258131977529295
firewood biryani,yes,no,3.9,454,residency road,"biryani, kebab, rolls",400,3.9024785461322002
sweet chariot,yes,no,3.8,111,cunningham road,"bakery, fast food",500,3.887877607846366
venus biryani,yes,no,3.0,144,domlur,"biryani, chinese",200,3.7271973887185696
kartik's mithai shoppe,yes,no,4.1,110,indiranagar,"mithai, street food",150,3.935078574476674
desi deck,yes,yes,3.9,96,brigade road,"mughlai, north indian, desserts",1300,3.9037701320351514
hoppipola,yes,no,4.3,1703,church street,"continental, mediterranean, european",1300,4.198077628905034
chichaba's taj,yes,no,3.9,442,frazer town,"biryani, north indian, mughlai",600,3.902507338536446
99 pancakes,yes,no,4.1,41,church street,"desserts, ice cream",150,3.917072912512894
beijing bites,yes,no,3.8,262,richmond road,"chinese, thai",850,3.8723213138430816
kabab korner,yes,no,3.9,205,st. marks road,"north indian, chinese, fast food",500,3.903253870236368
foodhall,yes,no,4.0,113,mg road,"italian, bakery, fast food",1000,3.9197302282786204
ciclo cafe,yes,no,4.3,1283,indiranagar,"cafe, italian, american",1000,4.175234834956322
alibaba cafe and restaurant,yes,no,3.9,450,frazer town,"arabian, middle eastern",700,3.902488069844523
amande patisserie,yes,no,4.2,231,lavelle road,"bakery, french, desserts",300,3.98745751910967
qissa khawani,yes,no,4.4,319,church street,"north indian, mughlai",800,4.078120967811152
ayda persian kitchen,yes,no,3.9,224,church street,"north indian, iranian",950,3.9031780131388336
tewari bros mithai shoppie,yes,no,3.8,59,commercial street,"fast food, mithai",300,3.894907816474075
cafe coffee day,yes,no,3.3,65,brigade road,"cafe, fast food",900,3.844497074250227
vinny's,yes,no,3.9,206,brigade road,"pizza, italian, continental, desserts",800,3.903249787588644
sagar delicacy,yes,no,3.9,87,ulsoor,"north indian, chinese, fast food, street food",500,3.903820178035618
carnival de goa,yes,yes,4.2,980,ulsoor,"goan, mangalorean, pizza",1000,4.088790630622628
mcdonald's,yes,no,3.7,184,brigade road,"burger, fast food",500,3.8558581686556757
northern route,yes,no,4.1,159,st. marks road,"north indian, street food",300,3.9458534409441985
the open box,yes,yes,4.2,2270,st. marks road,"european, north indian, mediterranean, asian, salad",1400,4.138933967391873
double decker,no,yes,4.3,2651,brigade road,"continental, north indian",1300,4.227880962587338
toscano,yes,yes,4.4,1840,lavelle road,"italian, salad",1500,4.279510522710058
foreign cafãâãâãâãâãâãâãâãâ©,yes,no,3.1,54,indiranagar,continental,500,3.8370388848188357
dakshin biryani & tiffin,yes,no,3.4,334,indiranagar,"andhra, south indian, north indian",550,3.7222595467115123
pizza stop,yes,no,3.5,73,lavelle road,"pizza, italian",600,3.8599248203435974
chocolate d'luxe,yes,no,4.1,183,lavelle road,desserts,550,3.9506331792094946
nolimmits lounge and club,yes,yes,4.0,2103,brigade road,"chinese, continental, north indian, burger, pizza",2000,3.9790237864543982
mangalore pearl - seafood restaurant,yes,no,4.3,94,ulsoor,"mangalorean, seafood",550,3.9586716506688306
20 feet high,yes,yes,4.0,932,church street,"american, continental, steak, salad",1000,3.9628956537807936
bean flickers,yes,no,4.3,392,indiranagar,"cafe, american, fast food, coffee, continental",700,4.062146572439622
7 plates,yes,no,3.9,169,frazer town,"north indian, mughlai, rolls, fast food",600,3.903408000931775
munchies,yes,no,3.9,64,brigade road,"fast food, bakery",250,3.90395432169183
kobe sizzlers,yes,no,4.1,1117,brigade road,"american, continental, fast food, steak",1500,4.032312693623037
cafe idly,yes,no,3.7,81,frazer town,"south indian, fast food",200,3.8797471439109357
airlines hotel,yes,no,4.0,867,lavelle road,"south indian, north indian, street food",400,3.96124148196718
pai vihar,yes,no,2.8,54,vasanth nagar,"south indian, street food, chinese, fast food",400,3.8119226057490683
crunch pizzas,yes,no,2.9,330,domlur,"italian, pizza",600,3.544506059400813
eat at nite,yes,no,3.2,56,frazer town,"north indian, chinese, rolls",400,3.8434158898116677
sri udupi park,yes,no,3.8,106,residency road,"south indian, chinese",200,3.8885080067548765
chantilly,yes,no,4.1,115,indiranagar,"cafe, bakery",450,3.9362465732410037
cafe terra,yes,no,4.2,391,indiranagar,"cafe, continental, fast food",500,4.02208765856227
charminar kabab paradise,yes,no,4.0,104,frazer town,"north indian, chinese, mughlai, kebab",500,3.918690763608847
cream stone,yes,no,4.0,78,frazer town,"desserts, beverages",500,3.915530763390357
eatwater,yes,no,4.2,121,lavelle road,north eastern,1000,3.9546208998709957
step right up,yes,no,4.1,152,vasanth nagar,"cafe, italian",300,3.9444011853407117
zaks mediterranean cuisine,yes,no,3.9,256,frazer town,"mediterranean, arabian, lebanese, rolls",700,3.9030579465267397
the chariot,yes,no,2.9,50,brigade road,"south indian, north indian, chinese",350,3.826037567407408
the j,yes,no,4.0,134,church street,"fast food, beverages",450,3.9220552837353777
zoroy luxury chocolate,yes,no,4.0,68,church street,desserts,250,3.9142489843826236
kanteen 038,yes,no,3.9,51,indiranagar,"tea, beverages, fast food",200,3.9040343936264
donne biriyani mane,yes,no,3.5,62,church street,"biryani, kebab",400,3.865987872447395
a2b - adyar ananda bhavan,yes,no,3.9,184,shanti nagar,"south indian, fast food, street food",400,3.9033420396234177
le rock,yes,no,4.0,1203,brigade road,"continental, chinese",2000,3.968500602401421
hotel chandrika,yes,no,3.8,208,cunningham road,"south indian, north indian, chinese, street food",400,3.8772091122755303
gowdru hotel,yes,no,3.9,200,indiranagar,"south indian, biryani",400,3.903274438316244
cafe braqa,yes,yes,4.0,144,indiranagar,"cafe, italian, continental, beverages",700,3.9231157560655086
naachiyar's,yes,no,3.9,117,ulsoor,chettinad,600,3.903658306084956
cobaja,yes,yes,4.3,61,brigade road,"seafood, south indian, bar food, mangalorean, konkan",700,3.941395829306977
brownie heaven,yes,no,4.2,33,cunningham road,"desserts, fast food",300,3.9200161549810075
the bundle co.,yes,no,4.4,222,mg road,"burger, continental, italian, beverages",700,4.039717196442988
the grill house,yes,yes,4.1,765,ulsoor,"american, mexican, italian, steak",1200,4.014741947424889
mountain spice,yes,no,3.9,186,koramangala 8th block,"chinese, nepalese, tibetan, momos",400,3.903333437204825
petoo,no,no,3.7,32,commercial street,"north indian, fast food, street food",800,3.893884559724156
kumbakonam degree coffee,yes,no,3.8,66,indiranagar,"south indian, fast food",200,3.8938966220824187
c sharp kitchen,yes,no,3.4,50,church street,"north indian, chinese, european",600,3.8650391274698106
nossa goa,yes,yes,4.1,294,richmond road,"goan, seafood, konkan, desserts",1000,3.9693673228340662
red lantern,yes,no,3.7,162,cunningham road,"chinese, thai",700,3.8604117937691216
chung wah express,yes,no,2.8,94,indiranagar,"chinese, thai, momos, vietnamese",600,3.752832234610436
ujwal restaurant,yes,no,3.9,134,vasanth nagar,"seafood, north indian, chinese",550,3.903572525114688
gmt - gelateria montecatini terme,yes,no,4.4,69,lavelle road,"desserts, ice cream",300,3.9561970919820437
gokul kuteera,yes,no,3.9,257,indiranagar,"north indian, chinese, south indian",650,3.903054340457723
the souk,yes,no,3.7,66,ulsoor,"cafe, mediterranean, italian, pizza, continental",800,3.883850959981962
tea journey,yes,no,3.8,71,indiranagar,cafe,500,3.8931874330938805
baba da dhaba,no,yes,4.1,373,brigade road,north indian,650,3.98007269783003
ging - royal orchid central,yes,yes,4.3,225,mg road,asian,2000,4.013468236161947
masala central,yes,no,3.7,74,frazer town,north indian,300,3.8816392191099984
ta'aam,yes,no,4.1,402,cunningham road,"north indian, mughlai, arabian, chinese",750,3.9835751064533227
coastal delight,yes,no,4.1,198,indiranagar,"seafood, south indian, north indian, mangalorean, chinese",650,3.9534728526085536
taipan,yes,no,3.5,126,frazer town,"chinese, momos",700,3.833319498895605
gelato italiano,yes,no,3.0,40,brigade road,"ice cream, bakery, desserts",200,3.847052425844927
ocea hotel,yes,no,3.7,279,brigade road,"north indian, chinese, seafood",800,3.8388391732277576
vietnamese kitchen,yes,yes,4.1,523,indiranagar,"chinese, vietnamese, momos, thai",800,3.9962208983017486
troll,yes,no,3.8,102,indiranagar,"desserts, ice cream",300,3.889018875480734
bhavani sri,yes,no,3.0,110,indiranagar,"andhra, biryani, seafood",700,3.7624680181286
meaza ginger multi cuisine restaurant,yes,no,3.6,91,indiranagar,"north indian, chinese, south indian, kerala",550,3.863768446786142
mamma mexicana,yes,yes,2.2,406,mg road,mexican,1000,3.2103210438396683
chutney chang,yes,yes,4.2,4732,church street,"north indian, chinese, bbq",1500,4.167178298085318
amritsari kulcha bite,yes,no,3.9,101,ulsoor,north indian,150,3.9037428911967464
gobble up churros cafe,yes,no,3.8,37,ulsoor,"beverages, cafe, desserts, spanish, bakery",400,3.8982326125925937
tempura restaurant,no,no,3.9,122,brigade road,"japanese, chinese, tibetan, momos",500,3.9036326517645845
shalimar,yes,no,4.0,153,indiranagar,"north indian, chinese, seafood",700,3.924045807403426
deshi fusion pizza,yes,no,3.3,73,old madras road,"pizza, chinese, rolls",750,3.8379368685363686
aagaman veg,yes,no,4.0,558,indiranagar,"north indian, chinese, south indian",900,3.9508181729400773
salt mango tree,yes,yes,4.1,247,indiranagar,kerala,800,3.9620406691028034
misu,yes,yes,4.6,1211,st. marks road,"asian, japanese, korean, indonesian, malaysian, singaporean",1700,4.37185909029309
rocksalt,yes,yes,4.4,484,st. marks road,modern indian,1900,4.127525656472697
the rice bowl,yes,yes,4.3,500,lavelle road,"chinese, momos",1300,4.085692099640832
shezan,yes,no,4.1,391,cunningham road,"chinese, continental, north indian, mughlai, steak",600,3.982270957951271
oye amritsar,yes,yes,4.1,450,church street,north indian,1000,3.988943401256627
tandoor,yes,yes,3.9,1361,mg road,north indian,2100,3.901326885608683
feast india co.,yes,no,4.2,133,cunningham road,"awadhi, bengali, north indian",1500,3.9586879567792117
hotel green tara,no,no,3.9,39,brigade road,"chinese, tibetan, momos",500,3.9041112392192843
the biere club,yes,yes,4.3,3484,lavelle road,"continental, bbq, finger food",1700,4.242623332689116
bangalore mandarin,yes,no,4.2,974,indiranagar,"chinese, seafood",1100,4.088364268823098
mahesh lunch home,yes,yes,4.1,860,residency road,"seafood, mangalorean, north indian, chinese",1400,4.020323970164127
bheema's,yes,no,4.0,779,church street,andhra,650,3.958751883728576
hatti punjab di,no,no,3.4,8,brigade road,north indian,450,3.897646211532803
chung wah,yes,no,4.0,360,residency road,"chinese, thai, momos, vietnamese",1000,3.94057842345757
danny lambas punjabi dhaba,yes,no,3.5,98,indiranagar,"north indian, chinese, biryani",600,3.8468651389087793
the charcoal factory,yes,no,4.1,290,koramangala 6th block,"burger, pizza, momos",600,3.968774211927524
chung's chinese corner,yes,no,3.3,201,cunningham road,chinese,700,3.750997576651703
fat buddha,yes,yes,4.0,455,cunningham road,"chinese, thai",1000,3.945975220562284
teppan japanese grill & sushi bar,yes,no,4.3,901,ulsoor,japanese,2000,4.143290938812433
new prashanth hotel,yes,no,3.7,50,majestic,"south indian, biryani, chinese, north indian",750,3.888440063507252
the only place,yes,yes,4.2,2923,church street,"italian, american, steak, continental, bbq, salad",1000,4.15028175318957
anupam's coast ii coast,yes,yes,4.1,853,church street,"seafood, mangalorean, north indian, chinese",1400,4.0199377290222635
babayaga's,yes,yes,4.1,207,indiranagar,"american, finger food",1500,3.9551254144212393
ramana's,yes,yes,4.0,378,cunningham road,"north indian, chinese, healthy food",850,3.9416822298329715
the konkan - seafood restaurant,yes,yes,4.4,218,st. marks road,"seafood, konkan, mangalorean",850,4.03793582287781
hotel tom's restaurant,yes,yes,4.4,712,richmond road,"mangalorean, seafood, chinese, north indian",1000,4.175203438762969
fujan,yes,no,3.6,54,frazer town,"chinese, thai, seafood",600,3.8788993499351148
raaga,yes,yes,3.8,297,indiranagar,"north indian, chinese, continental",1200,3.8694708116082763
the food dude,yes,no,4.0,176,koramangala 6th block,"fast food, burger, sandwich, pizza",300,3.926323442905018
lazio steaks & more,yes,no,3.9,118,frazer town,"continental, chinese, steak",1000,3.9036531462738346
the humming tree,yes,no,4.0,2418,indiranagar,"fast food, european",1400,3.981219701132652
woodstok,yes,yes,4.1,1053,indiranagar,"continental, italian, steak, american",1400,4.029677664664324
asean - on the edge,yes,yes,4.4,861,mg road,"asian, thai",1800,4.198271405446384
friends night kitchen,yes,no,3.8,109,koramangala 6th block,"italian, pizza",400,3.888128686725927
retro lounge bar,no,yes,3.8,108,ulsoor,"north indian, chinese",1400,3.8882547649615864
kick out the jams,yes,no,4.0,528,ejipura,"burger, american, italian",350,3.94949962529772
xian,yes,yes,3.8,81,ulsoor,"chinese, thai",800,3.891800715339507
mummy dhaba,yes,no,3.2,46,ulsoor,north indian,300,3.8535166102168743
benjarong,yes,no,4.2,858,ulsoor,"thai, asian",1800,4.079427246865528
midnight hunger solutions 24/7,yes,no,2.1,252,indiranagar,"north indian, mughlai, chinese",500,3.364994164541102
ente keralam,yes,no,4.0,1096,ulsoor,"kerala, seafood",1300,3.9665027152982506
nagarjuna,no,no,4.3,1773,residency road,"andhra, biryani",800,4.201095634817322
sunny's,no,yes,4.1,1327,lavelle road,"european, italian, seafood, continental",2100,4.039723712569421
little chef,no,no,4.0,101,richmond road,chinese,550,3.9183382669192897
gundappa donne biryani,no,no,3.7,160,st. marks road,biryani,300,3.86083898895892
nandhini paradise,no,yes,3.6,277,st. marks road,"andhra, chinese, north indian",800,3.80724663676054
nagashree's,no,no,2.9,46,shanti nagar,"south indian, north indian, fast food",550,3.8318525599813955
kamat's palate korner,no,no,4.1,121,richmond road,"north indian, chinese",600,3.9376265178485235
in wok,yes,no,3.6,118,richmond road,chinese,500,3.853723668135612
aromas of south,yes,no,3.7,46,race course road,south indian,1000,3.889623360609339
manjit da dhaba,yes,no,4.3,783,frazer town,north indian,300,4.12983266427085
taj hotel,yes,no,3.7,111,shivajinagar,"north indian, chinese",550,3.8720656420344004
foody's,yes,no,3.8,170,shanti nagar,"north indian, south indian",250,3.8810644950172786
